,Address,Latitude,Longitude
62206,308 ANCHORVALE ROAD DBS ANCHORVALE ROAD SINGAPORE 540308,1.389253975,103.8864451
2874,357 SERANGOON ROAD SINGAPORE 218116,1.312389071,103.855581
25027,17 JALAN MESRA SINGAPORE 368774,1.332527514,103.8797682
40839,11 SIGLAP GARDENS SIGLAP GARDEN SINGAPORE 456117,1.31181712,103.9249689
24478,206C WOODLEIGH LINK WOODLEIGH GLEN SINGAPORE 363206,1.34211986,103.8721752
62023,21 AH SOO GARDEN SINGAPORE 539982,1.349905212,103.8844367
30832,49 JALAN SENANG SINGAPORE 418339,1.324931986,103.9160599
56898,423 HOUGANG AVENUE 6 SINGAPORE 530423,1.374081609,103.8939767
9282,96 NAMLY AVENUE SHAMROCK PARK SINGAPORE 267665,1.32531501,103.7953846
52374,81 LOYANG RISE LOYANG VILLAS SINGAPORE 507520,1.362266766,103.9636478
43017,52 ELITE TERRACE ELITE RESIDENCES SINGAPORE 458806,1.317200077,103.9239206
26385,53 LORONG 23 GEYLANG SINGAPORE 388379,1.315669411,103.8809849
23282,15A SOMMERVILLE WALK SINGAPORE 358219,1.344664978,103.8698876
48213,623 BEDOK RESERVOIR ROAD EUNOS HEIGHTS SINGAPORE 470623,1.333657543,103.9168047
57226,985 BUANGKOK CRESCENT SINGAPORE 530985,1.381498425,103.8800396
48951,16 EASTWOOD PLACE HOMES AT EASTWOOD PLACE SINGAPORE 486542,1.322254067,103.9563935
26691,592 LORONG 3 GEYLANG SINGAPORE 388997,1.317827357,103.8733795
47480,1390 EAST COAST PARKWAY PASSION WAVE @ EAST COAST SINGAPORE 468961,1.311727997,103.952223
44074,18 BEDOK SOUTH ROAD UOB BEDOK SOUTH ROAD SINGAPORE 460018,1.320527715,103.9347643
44310,537 BEDOK NORTH STREET 3 SINGAPORE 460537,1.331773008,103.9242365
28220,18 GUILLEMARD CRESCENT COSMO SINGAPORE 399914,1.30957644,103.8810396
48348,750 BEDOK RESERVOIR ROAD WATERFRONT GOLD SINGAPORE 479256,1.338566473,103.9285282
44529,35 PARBURY AVENUE THE LOOKOUT SINGAPORE 465445,1.317309047,103.9427842
1678,125 KITCHENER ROAD SINGAPORE 208513,1.309478074,103.8573808
59989,12 LITTLE ROAD LIAN CHEONG INDUSTRIAL BUILDING SINGAPORE 536986,1.338617905,103.8852022
59044,3 ROCHDALE ROAD SINGAPORE 535816,1.343484422,103.8833715
11693,164 SIXTH AVENUE THE SIXTH AVENUE RESIDENCES SINGAPORE 276541,1.32657617,103.7926488
29587,3 LORONG SALLEH KEMBANGAN ESTATE SINGAPORE 416747,1.324482531,103.9065074
43687,42 DAFNE STREET OPERA ESTATE SINGAPORE 459562,1.320882299,103.9266035
7193,20 MARGOLIOUTH ROAD SINGAPORE 258546,1.319369508,103.8240861
